session_id,host_unix_us,timestamp_us,label,esp_label,settling,rssi,num_subcarriers,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,amp_52,amp_53,amp_54,amp_55,amp_56,amp_57,amp_58,amp_59,amp_60,amp_61,amp_62,amp_63,amp_64,amp_65,amp_66,amp_67,amp_68,amp_69,amp_70,amp_71,amp_72,amp_73,amp_74,amp_75,amp_76,amp_77,amp_78,amp_79,amp_80,amp_81,amp_82,amp_83,amp_84,amp_85,amp_86,amp_87,amp_88,amp_89,amp_90,amp_91,amp_92,amp_93,amp_94,amp_95,amp_96,amp_97,amp_98,amp_99,amp_100,amp_101,amp_102,amp_103,amp_104,amp_105,amp_106,amp_107,amp_108,amp_109,amp_110,amp_111,amp_112,amp_113,amp_114,amp_115,amp_116,amp_117,amp_118,amp_119,amp_120,amp_121,amp_122,amp_123,amp_124,amp_125,amp_126,amp_127
20260726_153123_c36ca3,1785076283622490,1112010514,0,0,1,-50,128,0,16,16,16,16,15,15,15,15,15,15,15,14,14,15,15,15,15,15,16,16,15,15,14,14,13,13,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,15,14,14,15,14,14,15,13,15,14,14,15,15,14,14,15,15,15,16,0,54,55,54,54,51,53,51,51,51,52,51,52,51,52,52,52,52,55,53,54,53,51,51,49,49,47,45,43,0,0,0,0,0,0,0,56,55,54,55,53,57,54,55,53,50,51,53,51,50,49,49,48,48,49,47,48,48,49,51,50,52,51,53
20260726_153123_c36ca3,1785076283718784,1112111732,0,0,1,-49,128,0,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,13,13,13,13,12,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,15,15,15,15,15,13,13,13,13,13,13,13,13,14,14,14,14,14,13,0,49,52,51,50,50,50,48,48,48,47,48,47,48,50,48,50,49,52,51,51,49,50,48,48,43,46,44,44,0,0,0,0,0,0,0,57,58,57,59,59,59,57,56,58,55,55,54,52,52,51,50,49,48,50,48,50,50,48,48,51,51,51,51
20260726_153123_c36ca3,1785076283821056,1112211670,0,0,1,-49,128,0,13,13,14,14,14,13,14,14,13,13,14,13,14,14,14,15,15,15,15,15,15,15,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,15,15,15,16,15,15,14,15,14,14,14,14,13,13,13,13,13,13,13,13,13,14,14,14,14,14,0,50,50,52,50,52,50,50,51,49,51,50,50,52,52,52,55,56,55,56,55,57,56,55,55,51,50,48,48,0,0,0,0,0,0,0,57,58,58,57,58,57,58,55,55,52,52,52,51,50,48,48,46,48,47,46,46,49,47,47,49,50,51,50
20260726_153123_c36ca3,1785076283918056,1112310684,0,0,1,-48,128,0,14,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,13,13,12,0,0,0,0,0,0,0,0,0,0,0,15,14,15,15,15,15,14,14,14,14,14,13,13,13,13,13,13,13,14,13,14,14,13,14,14,14,0,54,55,54,53,53,56,53,52,52,51,52,51,55,54,49,56,55,54,61,53,54,48,51,50,47,48,45,45,0,0,0,0,0,0,0,56,54,47,56,54,56,55,55,55,55,52,53,54,52,51,49,49,47,48,48,50,49,49,51,49,53,53,52
20260726_153123_c36ca3,1785076284019595,1112410512,0,0,1,-48,128,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,14,14,15,14,14,0,0,0,0,0,0,0,0,0,0,0,14,14,15,15,14,14,14,15,14,13,13,13,14,13,13,13,14,13,14,14,13,13,14,14,14,14,0,53,53,52,53,53,52,54,51,51,53,52,52,52,53,54,55,54,56,56,55,54,53,52,52,51,49,47,48,0,0,0,0,0,0,0,52,53,51,52,52,53,53,51,52,52,51,51,51,51,50,49,49,50,46,48,50,49,49,50,52,52,53,54
20260726_153123_c36ca3,1785076284122095,1112510148,0,0,1,-48,128,0,14,14,14,14,14,14,14,14,14,14,14,13,14,13,14,14,14,14,14,15,14,14,14,14,13,13,0,0,0,0,0,0,0,0,0,0,0,13,12,13,13,13,13,13,13,13,13,13,13,13,12,12,12,13,13,13,13,13,13,13,14,14,14,0,52,55,54,54,53,54,51,52,51,52,53,54,53,53,52,54,55,54,56,54,54,53,54,52,49,46,48,47,0,0,0,0,0,0,0,47,46,47,47,49,50,49,50,50,48,49,48,49,48,49,48,47,49,48,49,48,50,50,51,50,52,53,53
20260726_153123_c36ca3,1785076284217640,1112610044,0,0,1,-48,128,0,15,15,15,15,15,15,15,14,15,14,14,14,15,15,15,15,15,15,15,15,15,15,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,13,14,13,14,13,14,14,14,14,13,13,13,13,13,13,13,14,13,13,14,14,14,14,15,14,15,0,56,56,57,55,54,54,53,53,55,55,53,54,53,54,57,57,58,57,56,55,55,55,53,51,51,50,48,47,0,0,0,0,0,0,0,48,47,50,51,49,51,50,50,50,51,50,50,50,49,49,48,47,51,51,49,49,48,51,51,52,53,53,53
20260726_153123_c36ca3,1785076284319821,1112710214,0,0,1,-48,128,0,14,14,14,14,14,14,14,13,14,14,14,13,14,14,14,14,14,14,15,14,14,14,14,13,13,12,0,0,0,0,0,0,0,0,0,0,0,12,12,13,13,13,12,13,13,14,13,14,13,14,13,12,13,12,13,13,13,13,13,14,14,14,14,0,52,52,52,52,52,52,52,50,51,51,53,50,50,51,53,53,53,54,55,54,55,53,52,50,49,47,47,47,0,0,0,0,0,0,0,45,46,47,47,47,48,48,50,50,49,49,48,50,52,48,49,49,48,49,47,48,51,49,50,52,51,51,52
20260726_153123_c36ca3,1785076284422389,1112811013,0,0,1,-51,128,0,15,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,11,0,0,0,0,0,0,0,0,0,0,0,12,12,13,13,13,13,14,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,0,57,55,54,54,52,51,50,51,51,50,50,49,49,49,48,51,50,50,50,50,50,49,47,45,45,44,40,40,0,0,0,0,0,0,0,44,45,46,48,47,50,48,52,51,51,52,50,52,52,52,53,53,52,53,53,53,53,53,55,55,54,56,55
20260726_153123_c36ca3,1785076284522862,1112914465,0,0,1,-54,128,0,15,15,15,15,15,14,14,14,14,13,14,13,13,13,13,14,14,14,14,14,13,13,13,13,13,12,0,0,0,0,0,0,0,0,0,0,0,9,9,10,10,10,11,11,11,11,11,12,12,12,12,12,13,13,13,13,14,14,14,14,15,15,15,0,61,56,58,58,56,56,55,55,54,54,55,52,52,52,53,54,53,54,56,54,53,52,50,49,48,47,46,45,0,0,0,0,0,0,0,37,36,36,37,37,40,40,42,41,42,45,46,47,48,49,50,50,51,53,53,53,54,54,55,57,58,59,59
20260726_153123_c36ca3,1785076284619444,1113010072,0,0,1,-57,128,0,14,14,14,14,14,15,14,13,14,13,13,13,13,13,13,13,13,13,14,14,13,13,12,13,11,10,0,0,0,0,0,0,0,0,0,0,0,15,14,13,14,12,12,12,11,11,10,11,11,11,11,12,12,12,12,12,12,12,13,13,13,14,14,0,57,56,57,58,55,59,55,56,55,55,53,55,54,55,54,53,57,53,52,53,51,50,51,47,44,41,41,38,0,0,0,0,0,0,0,59,58,57,55,54,52,49,48,47,44,45,43,42,42,44,43,43,46,40,42,49,50,49,53,54,54,55,56
20260726_153123_c36ca3,1785076284721761,1113110289,0,0,1,-56,128,0,15,15,15,15,15,15,15,15,15,14,14,15,15,15,15,16,15,16,16,15,15,14,15,14,13,14,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,11,11,11,9,10,9,9,10,9,10,10,11,11,11,11,12,11,13,12,13,14,14,0,56,56,57,56,57,55,55,57,56,57,57,57,55,58,56,59,60,59,60,59,58,57,59,54,51,49,50,46,0,0,0,0,0,0,0,54,53,52,50,48,46,44,43,40,40,38,37,38,39,36,38,39,41,41,43,45,46,46,49,51,50,53,54
20260726_153123_c36ca3,1785076284818327,1113210123,0,0,1,-53,128,0,15,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,18,18,18,18,18,17,17,17,16,0,0,0,0,0,0,0,0,0,0,0,9,9,9,10,9,9,9,9,10,9,9,10,10,11,11,11,12,12,13,13,13,14,14,15,15,15,0,28,30,30,29,30,30,30,30,29,30,30,30,31,31,32,32,33,35,35,35,34,33,33,33,31,31,30,30,0,0,0,0,0,0,0,20,19,19,18,18,18,17,17,17,17,17,18,19,19,19,20,21,21,21,22,23,23,24,26,25,27,26,28
20260726_153123_c36ca3,1785076284921246,1113310320,0,0,1,-51,128,0,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,16,16,16,16,16,15,16,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,13,13,13,14,14,0,55,53,55,55,55,55,54,52,56,54,55,54,56,58,56,59,59,61,61,61,60,60,59,58,57,57,52,54,0,0,0,0,0,0,0,42,40,40,41,38,39,39,40,40,39,40,39,40,40,42,43,43,44,44,44,47,47,47,50,49,51,52,51
20260726_153123_c36ca3,1785076285023590,1113412870,0,0,1,-49,128,0,14,14,14,14,14,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,12,11,12,11,11,12,12,12,12,12,12,13,11,13,11,13,12,12,12,12,13,13,13,13,14,14,0,54,53,53,57,54,52,54,51,51,54,52,53,53,54,55,56,57,57,57,57,56,56,54,52,52,51,49,47,0,0,0,0,0,0,0,41,40,44,41,43,44,44,43,42,46,47,44,47,42,44,45,45,49,43,50,46,50,46,51,52,50,53,53
20260726_153123_c36ca3,1785076285119884,1113510253,0,0,1,-46,128,0,14,13,14,14,14,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,13,14,13,13,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,13,12,13,13,13,13,13,13,12,12,12,12,12,13,13,13,13,13,14,14,0,54,52,52,53,53,53,52,52,51,50,51,50,52,54,52,54,53,55,55,55,54,53,50,51,50,48,46,46,0,0,0,0,0,0,0,44,46,47,48,48,48,47,49,48,48,48,48,49,49,47,47,49,49,49,47,51,49,51,50,52,53,53,54
